   80605   20201215   67972
   80605   20201215   67975
   80605   20201216   68290
   80605   20201216   68291
   80605   20201216   68292
   80606   20201215   67968
   80606   20201215   67969
   80606   20201215   67970
   80606   20201215   67971
   80606   20201216   68284
   80606   20201216   68285
   80606   20201216   68288
   80606   20201216   68289
   80606   20201218   68630
   80606   20201219   68812
   80606   20201219   68813
   80607   20201214   67765
   80607   20201214   67766
   80607   20201214   67768
   80607   20201215   68027
   80607   20201215   68028
   80607   20201218   68662
   80607   20201218   68663
   80607   20201218   68664
   80607   20201218   68666
   80607   20201219   68844
   80607   20201219   68845
   80607   20201219   68846
   80607   20201219   68847
   80607   20201222   69440
   80608   20201214   67769
   80608   20201214   67770
   80608   20201214   67771
   80608   20201215   68023
   80608   20201215   68024
   80608   20201215   68025
   80608   20201215   68026
   80608   20201216   68317
   80608   20201216   68327
   80608   20201216   68328
   80608   20201217   68491
   80608   20201217   68492
   80608   20201218   68660
   80608   20201218   68661
   80608   20201219   68841
   80608   20201219   68842
   80608   20201221   69249
   80608   20201221   69251
   80608   20201221   69252
   80608   20201221   69253
   80608   20201222   69438
   80609   20201214   67781
   80609   20201214   67783
   80609   20201215   68063
   80609   20201215   68064
   80609   20201215   68065
   80609   20201216   68334
   80609   20201216   68336
   80609   20201216   68337
   80609   20201216   68338
   80609   20201216   68339
   80609   20201216   68340
   80609   20201217   68489
   80609   20201217   68490
   80610   20201215   68039
   80610   20201215   68040
   80610   20201215   68041
   80610   20201215   68042
   80610   20201216   68330
   80610   20201216   68331
   80610   20201216   68332
   80610   20201216   68333
   80610   20201217   68477
   80610   20201217   68488
   80610   20201218   68683
   80611   20201220   69031
   80611   20201220   69033
   80611   20201220   69034
   80611   20201220   69035
   80611   20201221   69212
   80611   20201221   69213
   80612   20201218   68644
   80612   20201218   68645
   80612   20201218   68646
   80612   20201219   68824
   80612   20201219   68825
   80612   20201219   68826
   80612   20201221   69219
   80612   20201221   69222
   80612   20201221   69223
   80613   20201218   68657
   80613   20201218   68658
   80613   20201218   68659
   80613   20201221   69225
   80613   20201221   69226
   80613   20201221   69227
   80613   20201221   69228
   80613   20201221   69229
   80613   20201221   69230
   80614   20201218   68684
   80614   20201218   68685
   80614   20201218   68686
   80615   20201216   68265
   80615   20201216   68266
   80615   20201216   68272
   80615   20201216   68273
   80616   20201219   68790
   80616   20201219   68794
   80616   20201219   68795
   80616   20201219   68796
   80616   20201219   68797
   80616   20201220   69016
   80616   20201220   69017
   80616   20201220   69018
   80616   20201220   69019
   80616   20201220   69020
   80616   20201220   69021
   80616   20201220   69022
   80617   20201218   68619
   80617   20201219   68799
   80617   20201219   68800
   80617   20201219   68801
   80617   20201220   69024
   80617   20201220   69025
   80617   20201220   69026
   80617   20201220   69027
   80617   20201220   69028
   80618   20201219   68837
   80618   20201219   68838
   80618   20201219   68839
   80618   20201220   69048
   80618   20201220   69050
   80618   20201220   69051
   80618   20201221   69233
   80618   20201221   69234
   80618   20201221   69237
   80618   20201221   69238
   80618   20201221   69239
   80618   20201221   69255
   80618   20201221   69256
   80618   20201221   69257
   80619   20201218   68672
   80619   20201218   68673
   80619   20201218   68674
   80619   20201219   68903
   80619   20201221   69241
   80619   20201221   69242
   80619   20201221   69245
   80619   20201221   69246
   80620   20201218   68675
   80620   20201218   68676
   80620   20201218   68677
   80620   20201219   68849
   80620   20201219   68850
   80620   20201219   68851
   80620   20201221   69259
   80620   20201221   69260
   80620   20201221   69261
   80621   20201218   68678
   80621   20201218   68681
   80621   20201218   68682
   80621   20201219   68853
   80621   20201219   68854
   80621   20201219   68856
   80621   20201221   69263
   80622   20201219   68858
   80622   20201219   68859
   80622   20201219   68879
   80622   20201221   69267
   80622   20201221   69268
   80622   20201221   69269
   80623   20201219   68890
   80623   20201219   68892
   80623   20201221   69271
   80623   20201221   69272
