Abell0098 11.6109 20.4871
Abell0119 14.0825 -0.725556
Abell0168 18.7852 0.223722
Abell0189 20.9071 1.63519
Abell0401 44.0465 13.3833
Abell0399 44.4807 13.0109
Abell0478 63.3415 10.4710
Abell0566 104.922 63.3861
Abell0744 136.833 16.6631
Abell0744 136.841 16.9796
Abell0779 139.975 33.7733
Abell1755 205.490 26.3679
Abell1795 207.257 26.5912 
Abell1809 208.322 5.15081
Abell1983 223.193 16.7467
Abell2028 227.386 7.52403
Abell2065 230.679 27.7324
Abell2079 232.027 28.8849
Abell2089 233.171 28.0245
Abell2092 233.329 31.1576
Abell2241 254.931 32.5520
Abell2256 256.118 78.7454
Abell2255 258.121 64.1019
Abell2319 290.200 43.9765
Abell2092 309.658 41.3847
Abell2443 335.895 17.1603
Abell2589 350.994 16.8334
Abell2634 353.944 26.7391
Abell2589 355.022 16.8167
