     3500.000     0.6000000
     3500.100     0.5999290
     3500.200     0.5998579
     3500.300     0.5997869
     3500.400     0.5997159
     3500.500     0.5996448
     3500.600     0.5995738
     3500.700     0.5995027
     3500.800     0.5994318
     3500.900     0.5993607
     3501.000     0.5992897
     3501.100     0.5992190
     3501.200     0.5991484
     3501.300     0.5990778
     3501.400     0.5990071
     3501.500     0.5989364
     3501.600     0.5988658
     3501.700     0.5987952
     3501.800     0.5987245
     3501.900     0.5986539
     3502.000     0.5985833
     3502.100     0.5985130
     3502.200     0.5984428
     3502.300     0.5983725
     3502.400     0.5983023
     3502.500     0.5982320
     3502.600     0.5981618
     3502.700     0.5980915
     3502.800     0.5980213
     3502.900     0.5979511
     3503.000     0.5978808
     3503.100     0.5978110
     3503.200     0.5977411
     3503.300     0.5976713
     3503.400     0.5976015
     3503.500     0.5975316
     3503.600     0.5974618
     3503.700     0.5973919
     3503.800     0.5973221
     3503.900     0.5972522
     3504.000     0.5971824
     3504.100     0.5971129
     3504.200     0.5970435
     3504.300     0.5969740
     3504.400     0.5969045
     3504.500     0.5968350
     3504.600     0.5967655
     3504.700     0.5966961
     3504.800     0.5966266
     3504.900     0.5965571
     3505.000     0.5964876
     3505.100     0.5964186
     3505.200     0.5963494
     3505.300     0.5962803
     3505.400     0.5962112
     3505.500     0.5961421
     3505.600     0.5960730
     3505.700     0.5960039
     3505.800     0.5959348
     3505.900     0.5958657
     3506.000     0.5957966
     3506.100     0.5957279
     3506.200     0.5956591
     3506.300     0.5955904
     3506.400     0.5955217
     3506.500     0.5954529
     3506.600     0.5953842
     3506.700     0.5953155
     3506.800     0.5952467
     3506.900     0.5951780
     3507.000     0.5951093
     3507.100     0.5950409
     3507.200     0.5949726
     3507.300     0.5949042
     3507.400     0.5948358
     3507.500     0.5947675
     3507.600     0.5946991
     3507.700     0.5946307
     3507.800     0.5945624
     3507.900     0.5944940
     3508.000     0.5944256
     3508.100     0.5943576
     3508.200     0.5942896
     3508.300     0.5942216
     3508.400     0.5941536
     3508.500     0.5940856
     3508.600     0.5940176
     3508.700     0.5939496
